Ημερομηνία,Ημέρα,Ώρα,Τμήμα,Εβδομάδα,Θέμα Εβδομάδας,Θεωρία,Πράξη / Ρόλος Συνεδρίας,Moodle,Milestone
2026-09-21,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει (Mark4 frame, SpeedyBee F405 V5, T-Motor Velox, RUSH Tank+Ratel2, ELRS EP1, GPS M10Q, goggles, TX12)",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-22,Τρίτη,10:55-11:40,Α5 Ομάδα 2,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-22,Τρίτη,12:40-13:25,Α4 Ομάδα 2,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-23,Τετάρτη,10:00-10:45,Α2 Ομάδα 2,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-23,Τετάρτη,10:55-11:40,Α5 Ομάδα 1,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-24,Πέμπτη,10:55-11:40,Α3 Ομάδα 1,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-24,Πέμπτη,12:40-13:25,Α2 Ομάδα 1,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-25,Παρασκευή,10:00-10:45,Α4 Ομάδα 1,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-25,Παρασκευή,12:40-13:25,Α1 Ομάδα 1,W1,Εισαγωγή & Στόχος,"Γιατί χτίζουμε 1 drone για τους ναυαγοσώστες (SAR κίνητρο, Κεφ.16 teaser)· πρόγραμμα 10 εβδομάδων· κανόνες εργαστηρίου κόλλησης","Καμία κόλληση ακόμη· απογραφή υλικού που ήδη υπάρχει",Ανάρτηση κανόνων ασφαλείας εργαστηρίου + quiz + υποχρεωτική ψηφιακή υπογραφή,Όλες οι 9 ομάδες έχουν υπογράψει κανόνες ασφαλείας
2026-09-28,Δευτέρα,12:40-13:25,Α3 Ομάδα 2,W2,Θεωρία & πρακτική κόλλησης,"14β.1, 14β.3-4: τι είναι το soldering, ρυθμίσεις iron, καλή vs κακή κόλληση","🔧 ΟΛΟΙ: ατομική άσκηση «Solder τη λαμπάκι» (LED+αντίσταση), όχι στο κοινό drone ακόμη",Quiz αναγνώρισης καλής/κακής κόλλησης + φωτογραφία δικής τους άσκησης,Όλες οι 9 ομάδες έχουν κάνει τουλάχιστον 1 πρακτική κόλληση
